,idx,title,author,ban_info
93,94,Cinderella Is Dead,"Bayron, Kalynn","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
94,95,The Sky Is Mine,"Beashel, Amy","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
95,96,"Sofia Valdez, Future Prez (Questioneers Picture Books Series)","Beaty, Andrea","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
96,97,Knock Knock: My Dad's Dream for Me,"Beaty, Daniel","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
97,98,Fun Home: A Family Tragicomic,"Bechdel, Alison","Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned Pending Investigation, Michigan, Rochester Community Schools District, April 2022, Administrator; Banned in Libraries and Classrooms, Missouri, Nixa Public Schools, May 2022, Formal Challenge; Banned Pending Investigation, Missouri, North Kansas City Schools, October 2021, Formal Challenge; Banned Pending Investigation, Missouri, Wentzville School District, October 2021, Formal Challenge; Banned in Libraries and Classrooms, Rhode Island, Pawtucket School Department, December 2021, Administrator; Banned in Libraries and Classrooms, South Dakota, Rapid City Area Schools, April 2022, Administrator; Banned Pending Investigation, Texas, Birdville Independent School District, October 2021, Formal Challenge; Banned in Libraries and Classrooms, Texas, Clear Creek Independent School District, May 2022, Administrator; "
98,99,Counting on Katherine: How Katherine Johnson Saved Apollo 13,"Becker, Helaine","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
99,100,"Dating, Relationships, And Sexuality: What Teens Should Know","Beckman, Wendy Hart","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
100,101,Lucky Broken Girl,"Behar, Ruth","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
101,102,Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy","Banned in Libraries, Florida, St. Johns County School District, May 2022, Formal Challenge; Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator; Banned in Libraries and Classrooms, Wisconsin, Elmbrook Schools, July 2021, Administrator; Banned in Libraries and Classrooms, Wisconsin, School District of Waukesha, December 2021, Administrator; "
102,103,Faces at the Bottom of the Well: The Permanence of Racism,"Bell, Derrick","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
103,104,Alan Cole Is Not a Coward,"Bell, Eric","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
104,105,Death Wind,"Bell, William","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
105,106,La tormenta,"Bell, William","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
106,107,Great,"Benincasa, Sara","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
107,108,Not Norman: A Goldfish Story,"Bennett, Kelly","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
108,109,Things That Make White People Uncomfortable (Adapted for Young Adults),"Bennett, Michael","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
109,110,Far from the Tree,"Benway, Robin","Banned in Libraries, Indiana, Middlebury Community Schools, December 2021, Administrator; Banned Pending Investigation, Tennessee, Hamilton County Schools, October 2021, Administrator; "
110,111,Kaleidoscope Song,"Benwell, Fox","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
111,112,The Berenstain Bears and the Big Question (The Berenstain Bears Series),"Berenstain, Jan","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
112,113,This Place Is Not My Home,"Bermudez, Cyn","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
113,114,Trans Mission: My Quest to a Beard,"Bertie, Alex","Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned in Libraries and Classrooms, Texas, Frisco Independent School District, February 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
114,115,Being Transgender: What You Should Know,"Bevan, Thomas E.","Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator; "
115,116,The Sin-Eater's Confession,"Bick, Ilsa J.","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, Klein Independent School District, November 2021, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
116,117,Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans,"Bildner, Phil","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
117,118,Most Valuable Players (Rip and Red Series),"Bildner, Phil","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
118,119,Playing the Field,"Bildner, Phil","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
119,120,I Kissed Alice,"Birch, Anna","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
